product1_Id,product2_Id,distance
15,3,8390.143
16,16,6.1035156e-05
16,17,130.966
16,15,136.08867
16,77,189.3097
16,54,234.44414
16,21,245.03406
16,20,251.97604
16,68,261.47247
16,22,273.81906
16,11,274.06598
16,32,274.38266
16,85,296.5989
16,81,375.56122
16,82,403.93732
16,18,410.41708
16,10,412.51892
16,65,469.3672
16,48,509.44595
16,5,538.1109
16,4,538.1109
16,6,538.1109
16,7,538.1109
16,52,568.56537
16,29,606.38367
16,40,648.5342
16,80,660.8938
16,43,662.43616
16,49,673.3709
16,51,686.32355
16,45,771.5064
16,23,833.54034
16,47,858.55566
16,13,903.5636
16,46,907.8475
16,86,912.9666
16,50,946.9266
16,44,952.06006
16,27,952.7325
16,84,965.77356
16,14,1043.709
16,76,1076.8591
16,79,1086.8108
16,83,1089.728
16,42,1106.0164
16,67,1122.865
16,75,1147.9729
16,31,1252.3203
16,28,1385.1013
16,53,1396.9949
16,2,1430.0037
16,39,1789.8904
16,38,1880.2314
16,78,1893.814
16,30,2212.225
16,24,2973.935
16,9,3498.8281
16,25,3879.9873
16,3,9772.879
17,17,0.0
17,16,130.966
17,68,190.01178
17,21,251.0235
17,81,267.2213
17,20,270.13553
17,52,298.10303
17,11,346.70837
17,77,357.05786
17,51,369.24365
17,85,370.34283
17,32,377.1316
17,15,444.46545
17,22,458.09293
17,54,464.04938
17,84,542.2196
17,67,665.6222
17,75,675.87463
17,10,749.15247
17,82,773.0344
17,18,778.7289
17,65,816.091
17,48,945.7203
17,5,955.83673
17,6,955.83673
17,7,955.83673
17,4,955.83673
17,29,1076.9604
17,40,1077.4579
17,43,1105.658
17,80,1148.776
17,49,1177.6533
17,78,1236.5608
17,45,1288.383
17,23,1386.1658
17,13,1392.269
17,47,1426.5443
17,27,1467.3088
17,46,1475.9133
17,86,1476.6753
17,50,1523.1417
17,44,1537.804
17,79,1653.8064
17,83,1677.0875
17,14,1679.8109
17,76,1705.517
17,42,1765.8928
17,31,1921.2383
17,28,1972.9275
17,2,2057.996
17,53,2107.1538
17,39,2505.6873
17,38,2660.8567
17,25,2960.0872
17,30,3037.8347
17,24,3841.4292
17,9,4225.7246
17,3,10866.727
18,18,0.0
18,82,94.174194
18,48,118.939804
18,29,122.96504
18,4,143.27267
18,6,143.27267
18,5,143.27267
18,7,143.27267
18,40,147.2676
18,80,154.38269
18,49,168.50737
18,45,188.38843
18,43,226.1881
18,54,236.71771
18,65,240.69444
18,10,244.77608
18,15,248.13141
18,23,252.96703
18,47,269.6199
18,44,296.54166
18,79,299.60446
18,46,301.0429
18,22,307.10886
18,50,326.703
18,86,343.1678
18,83,343.35596
18,77,361.83545
18,76,364.71777
18,16,410.41708
18,42,418.26346
18,85,420.64725
18,32,447.6366
18,31,452.4229
18,20,517.2698
18,13,538.6503
18,11,548.04407
18,14,550.567
18,21,552.9867
18,27,626.73486
18,53,658.3607
18,68,681.14777
18,17,778.7289
18,2,833.5244
18,28,835.74603
18,39,874.2258
18,81,881.58215
18,38,970.8264
18,30,1226.8918
18,52,1396.3945
18,51,1546.554
18,24,1924.0585
18,84,1972.6395
18,67,2170.0552
18,75,2170.384
18,9,2982.3647
18,78,3327.672
18,25,5990.5615
18,3,8697.97
20,20,0.0
20,85,88.13669
20,68,115.45676
20,77,131.17636
20,21,175.32193
20,81,183.15292
20,32,196.81262
20,11,226.37167
20,22,245.956
20,16,251.97604
20,17,270.13553
20,52,313.34958
20,51,398.25204
20,10,416.65414
20,54,442.5936
20,82,453.99258
20,15,475.4552
20,65,485.63678
20,18,517.2698
20,48,540.6816
20,40,628.4656
20,84,702.8833
20,80,717.99646
20,5,718.0101
20,6,718.0101
20,7,718.0101
20,4,718.0101
20,43,764.1107
20,67,787.9586
20,29,799.0571
20,49,806.03516
20,75,832.3434
20,23,874.8585
20,45,879.5358
20,47,977.01855
20,44,1040.1133
20,46,1077.4922
20,50,1116.4135
20,86,1132.0543
20,13,1178.1433
20,83,1195.6405
20,76,1200.2478
20,79,1211.2938
20,42,1272.1495
20,27,1310.2039
20,31,1408.7382
20,14,1455.3365
20,78,1573.5985
20,53,1615.834
20,2,1709.5442
20,28,1744.5145
20,39,1983.8014
20,38,2111.7952
20,30,2433.4548
20,24,3233.9148
20,25,3688.6904
20,9,4097.208
