product1_Id,product2_Id,distance
2,32,0.0
2,2,0.0
2,65,0.012952566
2,3,0.0147714615
2,7,0.015177488
2,40,2.0019083
2,81,2.002945
2,82,2.005278
2,79,2.005278
2,31,2.3425825
2,86,4.000327
2,67,4.0030594
2,75,4.0030594
2,68,4.00306
2,53,4.003641
2,42,4.004876
2,84,4.0052776
2,77,4.0052776
2,54,4.009867
2,4,4.0151772
2,6,4.0151772
2,5,4.0151772
2,80,4.0233026
2,15,4.028372
2,16,4.028372
2,17,4.028372
2,14,4.028372
2,25,4.0392656
2,30,4.0441146
2,10,4.0898046
2,24,4.1009674
2,23,4.1009674
2,21,4.108919
2,22,4.108919
2,9,4.1222076
2,51,4.140268
2,52,4.140268
2,78,4.1405125
2,38,4.1551814
2,45,4.1689262
2,49,4.1689262
2,47,4.1689262
2,46,4.1689262
2,44,4.1689262
2,50,4.1689262
2,48,4.1689262
2,43,4.209528
2,11,4.303643
2,76,4.6214333
2,18,4.691744
2,13,4.886718
2,29,4.886718
2,28,4.886718
2,27,4.886718
2,20,5.137496
2,39,5.16438
2,85,6.0421596
2,83,6.04216
3,3,4.7683716e-07
3,7,0.00018906593
3,65,0.008391619
3,32,0.0147714615
3,2,0.0147714615
3,40,2.009191
3,81,2.030456
3,82,2.032463
3,79,2.032463
3,31,2.2156851
3,4,4.000189
3,5,4.000189
3,6,4.000189
3,54,4.0004997
3,80,4.0010195
3,15,4.0022216
3,16,4.0022216
3,14,4.0022216
3,17,4.0022216
3,42,4.0027404
3,25,4.0059195
3,30,4.0078964
3,86,4.0159087
3,67,4.030339
3,75,4.030339
3,68,4.0303392
3,10,4.03186
3,53,4.032183
3,84,4.032463
3,77,4.032463
3,24,4.038699
3,23,4.0386996
3,21,4.043688
3,22,4.043688
3,9,4.0522475
3,51,4.0642824
3,52,4.0642824
3,78,4.0645623
3,38,4.0744915
3,45,4.084131
3,49,4.084131
3,47,4.084131
3,46,4.084131
3,44,4.084131
3,50,4.084131
3,48,4.084131
3,43,4.1134415
3,11,4.185022
3,18,4.5053496
3,76,4.6462345
3,13,4.673585
3,29,4.673585
3,28,4.673585
3,27,4.673585
3,20,5.0255184
3,39,5.045117
3,85,5.961991
3,83,5.9619913
4,4,0.0
4,23,0.038882732
4,83,1.9898698
4,42,2.0029266
4,67,2.0305274
4,75,2.0305274
4,53,2.0323737
4,24,2.0388825
4,21,2.0438817
4,22,2.0438817
4,52,2.0644712
4,51,2.0644712
4,38,2.0747313
4,44,2.0843227
4,46,2.0843227
4,47,2.0843227
4,45,2.0843227
4,49,2.0843227
4,48,2.0843227
4,50,2.0843227
4,11,2.185208
4,76,2.662854
4,5,4.0
4,7,4.0
4,6,4.0
4,3,4.000189
4,54,4.0006933
4,80,4.0009794
4,15,4.0024104
4,14,4.0024104
4,16,4.0024104
4,17,4.0024104
4,25,4.0061083
4,30,4.0080914
4,40,4.0091257
4,65,4.0108404
4,2,4.0151772
4,32,4.0151772
4,86,4.015914
4,68,4.0305276
4,81,4.030607
4,10,4.031983
4,84,4.033647
4,77,4.033647
4,82,4.033647
4,79,4.033647
4,9,4.052434
4,78,4.064389
4,43,4.113632
4,31,4.215874
4,18,4.5055447
4,13,4.6733913
4,28,4.6733913
4,27,4.6733913
4,29,4.6733913
4,20,5.0259113
4,39,5.04551
4,85,5.989869
5,5,0.0
5,30,0.008091211
5,10,0.031983137
5,9,0.05243373
5,16,2.0024104
5,6,4.0
5,7,4.0
5,4,4.0
5,3,4.000189
5,54,4.0006933
5,80,4.0009794
5,15,4.0024104
5,17,4.0024104
5,14,4.0024104
5,42,4.002927
5,25,4.0061083
5,40,4.0091257
5,65,4.0108404
5,32,4.0151772
5,2,4.0151772
5,86,4.015914
5,75,4.030527
5,67,4.030527
5,68,4.0305276
5,81,4.030607
5,53,4.032374
5,84,4.033647
5,79,4.033647
5,82,4.033647
5,77,4.033647
5,24,4.0388823
5,23,4.0388827
5,21,4.0438814
5,22,4.0438814
5,78,4.064389
5,52,4.0644712
5,51,4.0644712
5,38,4.0747313
5,50,4.084323
5,45,4.084323
5,49,4.084323
5,47,4.084323
5,46,4.084323
5,44,4.084323
5,48,4.084323
5,43,4.113632
5,11,4.1852083
5,31,4.215874
5,18,4.5055447
5,76,4.662854
5,13,4.6733913
5,29,4.6733913
5,28,4.6733913
5,27,4.6733913
5,20,5.0259113
5,39,5.04551
5,85,5.989869
5,83,5.98987
6,6,0.0
6,4,4.0
6,5,4.0
6,7,4.0
6,3,4.000189
6,54,4.0006933
6,80,4.0009794
6,15,4.0024104
6,16,4.0024104
6,14,4.0024104
6,17,4.0024104
6,42,4.002927
6,25,4.0061083
6,30,4.0080914
6,40,4.0091257
6,65,4.0108404
6,32,4.0151772
6,2,4.0151772
6,86,4.015914
6,75,4.030527
6,67,4.030527
6,68,4.0305276
6,81,4.030607
6,10,4.031983
6,53,4.032374
6,82,4.033647
6,84,4.033647
6,79,4.033647
6,77,4.033647
6,24,4.0388823
6,23,4.0388827
6,22,4.0438814
6,21,4.0438814
6,9,4.052434
6,78,4.064389
6,52,4.0644712
6,51,4.0644712
6,38,4.0747313
6,50,4.084323
6,45,4.084323
6,49,4.084323
6,47,4.084323
6,46,4.084323
6,44,4.084323
6,48,4.084323
6,43,4.113632
6,11,4.1852083
6,31,4.215874
6,18,4.5055447
6,76,4.662854
6,13,4.6733913
6,29,4.6733913
6,28,4.6733913
6,27,4.6733913
6,20,5.0259113
6,39,5.04551
6,85,5.989869
6,83,5.98987
7,7,0.0
7,3,0.00018906593
7,65,0.010840893
7,32,0.015177488
7,2,0.015177488
7,40,2.009126
7,81,2.0306075
7,82,2.0336468
7,79,2.0336468
7,31,2.2158744
7,4,4.0
7,5,4.0
7,6,4.0
7,54,4.0006933
7,80,4.0009794
7,15,4.0024104
7,16,4.0024104
7,14,4.0024104
7,17,4.0024104
7,42,4.002927
7,25,4.0061083
7,30,4.0080914
7,86,4.015914
7,67,4.030527
7,75,4.030527
7,68,4.0305276
7,10,4.031983
7,53,4.032374
7,84,4.033647
7,77,4.033647
7,24,4.0388823
7,23,4.0388827
7,21,4.0438814
7,22,4.0438814
7,9,4.052434
7,78,4.064389
7,51,4.0644712
7,52,4.0644712
7,38,4.0747313
7,45,4.084323
7,49,4.084323
7,47,4.084323
7,46,4.084323
7,44,4.084323
7,50,4.084323
7,48,4.084323
7,43,4.113632
7,11,4.1852083
7,18,4.5055447
7,76,4.662854
7,13,4.6733913
7,29,4.6733913
7,28,4.6733913
7,27,4.6733913
7,20,5.0259113
7,39,5.04551
7,85,5.989869
7,83,5.98987
9,9,0.0
9,10,0.0025205612
9,30,0.01952076
9,5,0.05243373
9,16,2.0329227
9,21,4.0003824
9,22,4.0003824
9,52,4.000623
9,51,4.000623
9,78,4.000902
9,24,4.0010147
9,23,4.0010147
9,38,4.0019755
9,44,4.0037794
9,49,4.0037794
9,46,4.0037794
9,47,4.0037794
9,48,4.0037794
9,50,4.0037794
9,45,4.0037794
9,43,4.0117145
9,25,4.0229945
9,17,4.0329227
9,15,4.0329227
9,14,4.0329227
9,80,4.039638
9,11,4.0406284
9,3,4.0522475
9,7,4.052434
9,4,4.052434
9,6,4.052434
9,31,4.0556216
9,54,4.062967
9,65,4.078111
9,42,4.0789185
9,40,4.1018934
9,32,4.1222076
9,2,4.1222076
9,86,4.125725
9,67,4.1622133
9,75,4.1622133
9,68,4.1622133
9,81,4.1623316
9,82,4.1643405
9,79,4.1643405
9,77,4.1643405
9,84,4.1643405
9,53,4.166442
9,18,4.232616
9,28,4.3506875
9,13,4.3506875
9,29,4.3506875
9,27,4.3506875
9,76,4.778156
9,20,4.936094
9,39,4.9418955
9,85,5.902146
9,83,5.9021463
10,10,0.0
10,9,0.0025205612
10,30,0.008040428
10,5,0.031983137
10,16,2.0172586
10,24,4.0003424
10,23,4.0003424
10,22,4.000944
10,21,4.000944
10,52,4.0056458
10,51,4.0056458
10,78,4.005906
10,38,4.008939
10,25,4.010318
10,44,4.0124626
10,46,4.0124626
10,47,4.0124626
10,48,4.0124626
10,49,4.0124626
10,45,4.0124626
10,50,4.0124626
10,15,4.0172586
10,17,4.0172586
10,14,4.0172586
10,80,4.022168
10,43,4.0250835
10,3,4.03186
10,7,4.031983
10,6,4.031983
10,4,4.031983
10,54,4.04034
10,42,4.0532837
10,65,4.0542192
10,11,4.0633507
10,40,4.072739
10,31,4.0817795
10,32,4.0898046
10,2,4.0898046
10,86,4.0926948
10,67,4.124368
10,75,4.124368
10,68,4.1243687
10,81,4.124524
10,82,4.1265464
10,79,4.1265464
10,77,4.1265464
10,84,4.1265464
10,53,4.1280746
10,18,4.2834764
10,28,4.412476
10,13,4.412476
10,29,4.412476
10,27,4.412476
10,76,4.7409945
10,20,4.9428873
10,39,4.9517136
10,85,5.9071574
10,83,5.907158
11,11,0.0
11,52,0.03118825
11,51,0.03118825
11,21,0.048896074
11,42,0.23279524
11,67,0.36520457
11,45,2.019625
11,44,2.019625
11,47,2.019625
11,48,2.019625
11,46,2.019625
11,49,2.019625
11,50,2.019625
11,38,2.0247307
11,22,2.048896
11,24,2.0544846
11,23,2.0544848
11,4,2.185208
11,75,2.3652046
11,53,2.3715365
11,76,2.9812505
11,83,3.936207
11,31,4.001175
11,43,4.0087104
11,78,4.031465
11,9,4.0406284
11,10,4.0633507
11,18,4.0788136
11,30,4.116473
11,25,4.124753
11,14,4.146697
11,15,4.146697
11,17,4.146697
11,16,4.146697
11,28,4.1526523
11,27,4.1526523
11,29,4.1526523
11,13,4.1526523
11,80,4.1603985
11,3,4.185022
11,5,4.1852083
11,6,4.1852083
11,7,4.1852083
11,54,4.204753
11,65,4.226283
11,40,4.2703323
11,2,4.303643
11,32,4.303643
11,86,4.3092656
11,68,4.365205
11,81,4.365321
11,77,4.3673377
11,82,4.3673377
11,79,4.3673377
11,84,4.3673377
11,39,4.937892
11,20,4.944256
11,85,5.936207
13,29,0.0
13,13,0.0
13,68,0.989789
13,28,2.0
13,27,2.0
13,80,2.625438
13,18,4.0122404
13,31,4.127063
13,11,4.1526523
13,43,4.234252
13,48,4.281683
13,49,4.281683
13,50,4.281683
13,45,4.281683
13,46,4.281683
13,44,4.281683
13,47,4.281683
13,38,4.3002152
13,78,4.3216906
13,52,4.3217564
13,51,4.3217564
13,9,4.3506875
13,22,4.374238
13,21,4.374238
13,24,4.3894176
13,23,4.389418
13,10,4.412476
13,30,4.5356503
13,25,4.553234
13,16,4.5984545
13,15,4.5984545
13,14,4.5984545
13,17,4.5984545
13,4,4.6733913
13,7,4.6733913
13,5,4.6733913
13,6,4.6733913
13,3,4.673585
13,54,4.710778
13,65,4.746914
13,42,4.762235
13,40,4.827817
13,2,4.886718
13,32,4.886718
13,86,4.8959923
13,75,4.989789
13,67,4.989789
13,81,4.9898906
13,79,4.9928637
13,82,4.9928637
13,84,4.9928637
13,77,4.9928637
13,53,5.0001965
13,39,5.1593
13,20,5.189231
13,76,5.6212897
13,85,6.259044
13,83,6.2590446
14,14,4.7683716e-07
14,84,0.05110264
14,20,0.9985552
14,39,1.0153089
14,17,2.0000005
14,15,2.0000005
14,78,2.0428846
14,43,2.0839143
14,18,2.440562
14,16,4.0000005
14,80,4.0004315
14,25,4.000889
14,30,4.0017414
14,3,4.0022216
14,5,4.0024104
14,4,4.0024104
14,6,4.0024104
14,7,4.0024104
14,54,4.0048285
14,42,4.0098963
14,65,4.0142126
14,10,4.0172586
14,40,4.0197535
14,24,4.0223775
14,23,4.0223775
14,21,4.026207
14,22,4.026207
14,2,4.028372
14,32,4.028372
14,86,4.0300007
14,9,4.0329227
14,52,4.042605
14,51,4.042605
14,75,4.048979
14,67,4.048979
14,68,4.048979
14,81,4.049096
14,38,4.0509877
14,79,4.0511026
14,82,4.0511026
14,77,4.0511026
14,53,4.051315
14,46,4.059011
14,44,4.059011
14,49,4.059011
14,48,4.059011
14,50,4.059011
14,45,4.059011
14,47,4.059011
14,11,4.146697
14,31,4.1741295
14,28,4.5984545
14,29,4.5984545
14,27,4.5984545
14,13,4.5984545
14,76,4.664875
14,85,5.941086
14,83,5.9410863
15,15,4.7683716e-07
15,78,0.04288459
15,43,0.08391428
15,14,2.0000005
15,17,2.0000005
15,84,2.0511026
15,18,2.440562
15,20,2.9985552
15,39,3.0153086
15,16,4.0000005
15,80,4.0004315
15,25,4.000889
15,30,4.0017414
15,3,4.0022216
15,5,4.0024104
15,4,4.0024104
15,6,4.0024104
15,7,4.0024104
15,54,4.0048285
15,42,4.0098963
15,65,4.0142126
15,10,4.0172586
15,40,4.0197535
15,24,4.0223775
15,23,4.0223775
15,21,4.026207
15,22,4.026207
15,2,4.028372
15,32,4.028372
